2020/08/03 22:45:04 {"callers":["D:/GoProjects/src/myBlog/main.go: 21 main.init.0"],"level":"info","message":"eddycjy: go-programming-tour-book/blog-service","time":1596465904318749300}
2020/08/04 17:10:49 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1596532249161138700}
2020/08/04 17:11:24 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1596532284689943500}
2020/08/05 17:14:07 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.CreateTag errs: Name为必填字段","time":1596618847575838400}
2020/08/05 17:19:46 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.CreateTag errs: Name为必填字段","time":1596619186226946100}
2020/08/05 17:20:05 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.CreateTag errs: Name长度必须至少为3个字符","time":1596619205833979400}
2020/08/05 17:26:55 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596619615764576300}
2020/08/05 17:27:46 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596619666041420900}
2020/08/05 17:28:35 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596619715530856200}
2020/08/05 17:29:16 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596619756990008200}
2020/08/05 17:44:56 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596620696308861600}
2020/08/05 17:46:22 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596620782555803200}
2020/08/05 17:46:33 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596620793313707000}
2020/08/05 17:47:18 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596620838259356200}
2020/08/05 17:49:29 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596620969800679700}
2020/08/05 17:50:19 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596621019902173300}
2020/08/05 17:50:32 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596621032961871000}
2020/08/05 17:53:32 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596621212025555100}
2020/08/05 17:53:36 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596621216969532000}
2020/08/05 17:56:36 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596621396061880500}
2020/08/05 18:49:28 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596624568201021100}
2020/08/05 18:50:29 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596624629639033500}
2020/08/05 18:51:21 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596624681587136200}
2020/08/05 18:56:38 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596624998711883300}
2020/08/05 18:57:40 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596625060723609200}
2020/08/05 19:09:41 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596625781799059900}
2020/08/05 19:11:51 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596625911643195300}
2020/08/05 19:20:14 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596626414478259100}
2020/08/05 19:39:36 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596627576238805500}
2020/08/05 19:41:23 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CountTag err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AND (state = ?) AND (is_del = ?)' at line 1","time":1596627683742370200}
2020/08/05 19:52:52 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628372373587300}
2020/08/05 19:53:39 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628419526060000}
2020/08/05 19:56:05 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628565689444700}
2020/08/05 19:57:29 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628649889330700}
